ID,FAM_ID,FAM_ID2,SUBJ_ID,IMMGROUP,SEX,RELATION,IMM_YR,AGE,HD_LNG,HD_WDT,BIZYG,STATURE,CEPHALIC,WFI,EYECOLOR,HAIRCOL,GENERAT,USBORN,PAGE_NUM
147,58,58_5,167,1,1,F,1890,45,187,132,127,147.5,70.59,96.21,2,3,0,0,5
148,58,58_5,168,1,0,M,1891,39,186,142,140,152.2,76.34,98.59,2,0,0,0,5
149,58,58_5,171,1,1,S,-999,8,179,141,117,120,78.77,82.98,2,3,1,1,5
150,58,58_5,169,1,0,D,1891,20,183,138,126,155.5,75.41,91.3,2,3,1,0,5
151,58,58_5,170,1,0,D,-999,5,168,133,110,121.5,79.17,82.71,2,3,1,1,5
152,1034,1034_5,4141,1,1,F,1893,41,199,142,139,168,71.36,97.89,2,1,0,0,5
153,1034,1034_5,4142,1,0,M,1895,40,181,146,136,148,80.66,93.15,2,4,0,0,5
154,1034,1034_5,4145,1,1,S,-999,4,172,133,102,91,77.33,76.69,2,7,1,1,5
155,1034,1034_5,4144,1,0,D,1895,18,186,147,133,151.5,79.03,90.48,2,4,1,0,5
156,1034,1034_5,4143,1,0,D,-999,5,171,140,110,99.5,81.87,78.57,1,6,1,1,5
157,192,192_6,950,1,1,F,1884,49,195,142,142,163.2,72.82,100,2,0,0,0,6
158,192,192_6,951,1,0,M,1886,40,184,143,129,149.2,77.72,90.21,2,2,0,0,6
159,192,192_6,952,1,0,D,-999,14,178,141,129,141.5,79.21,91.49,2,3,1,1,6
160,192,192_6,953,1,0,D,-999,12,173,144,124,126,83.24,86.11,2,2,1,1,6
161,192,192_6,954,1,0,D,-999,7,163,133,112,109.2,81.6,84.21,2,3,1,1,6
162,349,349_6,1347,1,1,F,1899,42,196,144,139,173,73.47,96.53,2,2,0,0,6
163,349,349_6,1348,1,0,M,1901,39,193,146,134,159.5,75.65,91.78,5,0,0,0,6
164,349,349_6,1351,1,1,S,-999,6,179,136,111,115,75.98,81.62,2,6,1,1,6
165,349,349_6,1349,1,0,D,1901,14,188,138,125,155.5,73.4,90.58,2,2,1,0,6
166,349,349_6,1350,1,0,D,1901,10,184,143,125,143,77.72,87.41,2,7,1,0,6
167,49,49_6,611,1,1,F,1887,58,188,139,137,157,73.94,98.56,2,0,0,0,6
168,49,49_6,612,1,0,M,1887,45,191,145,140,159,75.92,96.55,3,0,0,0,6
169,49,49_6,613,1,1,S,1895,27,185,145,136,160,78.38,93.79,2,3,1,0,6
170,49,49_6,614,1,1,S,1887,23,189,146,133,152.7,77.25,91.1,2,3,1,0,6
171,49,49_6,615,1,0,D,-999,18,177,143,126,155,80.79,88.11,3,3,1,1,6
172,424,424_6,2360,1,1,F,1907,50.5,208,153,146,177,73.56,95.42,2,8,0,0,6
173,424,424_6,2361,1,0,M,1907,44,197,152,132,158,77.16,86.84,1,2,0,0,6
174,424,424_6,2357,1,0,D,1907,20,201,155,135,160,77.11,87.1,1,13,1,0,6
175,424,424_6,2358,1,0,D,1907,16,191,143,132,159,74.87,92.31,1,5,1,0,6
176,424,424_6,2359,1,0,D,1907,4,181,140,112,96,77.35,80,1,12,1,0,6
177,1017,1017_6,4069,1,1,F,1897,38,203,149,130,165.5,73.4,87.25,2,1,0,0,6
178,1017,1017_6,4070,1,0,M,1902,48,183,146,128,155,79.78,87.67,2,2-Gr.,0,0,6
179,1017,1017_6,4071,1,0,D,1902,12,181,143,126,141,79.01,88.11,2,4,1,0,6
180,1017,1017_6,4068,1,0,D,-999,6,171,137,108,113,80.12,78.83,2,6,1,1,6
181,1017,1017_6,4067,1,0,D,-999,5,171,138,107,103,80.7,77.54,2,6,1,1,6
182,300,300_6,1170,1,1,F,1906,52,191,141,137,161,73.82,97.16,2,7,0,0,6
183,300,300_6,1171,1,0,M,1906,37,185,148,141,159,80,95.27,2,2,0,0,6
184,300,300_6,1172,1,0,D,1906,17,185,147,130,160,79.46,88.44,2,2,1,0,6
185,300,300_6,1173,1,0,D,1906,15,184,145,138,156,78.8,95.17,2,8,1,0,6
186,300,300_6,1174,1,0,D,1906,8,177,132,113,116.5,74.58,85.61,2,8,1,0,6
