BOX,FAMILY,PREDATOR,MATE,MASS,ST1,ST2,ST3,SL1,SL2,SL3,Age_Morph,AFR,SFR_Mass,SFR_SL
135,1,NP,NM,150,0.26,0.24,0.25,10.4,10.56,10.37,93,74,141,10.28
136,17,P,M,117,0.3,0.3,0.29,9.56,9.66,9.93,93,59,115,9.21
137,6,P,M,119,0.21,0.19,0.17,10.3,10.4,10.74,93,100,114,10.51
138,17,NP,M,47,0.14,0.1,0.08,7.62,7.54,7.6,93,116,34,6.86
139,24,NP,M,55,0.11,0.16,0.1,8.13,8.23,7.97,93,80,44,7.4
140,27,NP,NM,156,0.22,0.24,0.21,11.35,11.11,10.81,93,,,
141,21,P,M,96,0.21,0.17,0.19,9.44,9.83,9.83,93,,,
142,2,P,M,112,0.18,0.16,0.18,9.93,9.92,9.92,93,,,
143,7,NP,NM,198,0.19,0.18,0.17,11.77,11.55,11.71,93,,,
144,25,NP,M,10,0.01,0.01,0.01,4.44,4.54,4.37,93,88,14,4.57
145,4,NP,M,24,0.01,0.01,0.01,5.37,5.45,5.44,93,20,13,4.96
146,9,P,M,107,0.2,0.19,0.22,9.96,9.9,10.02,93,59,99,9.56
147,26,NP,M,63,0.08,0.07,0.04,7.64,7.94,7.9,93,59,56,7.3
148,27,NP,NM,128,0.17,0.14,0.11,10.3,10.78,10.4,93,,,
149,6,P,M,125,0.29,0.23,0.24,9.61,9.75,9.69,93,88,127,9.87
150,25,NP,NM,132,0.1,0.1,0.08,10.37,10.32,10.45,94,167,132,10.52
151,8,NP,NM,201,0.15,0.17,0.16,11.8,11.83,11.79,94,130,243,12.18
152,15,NP,NM,99,0.22,0.21,0.19,9.35,9.31,9.35,94,226,156,11.05
153,21,P,NM,80,0.08,0.08,0.09,8.87,9.06,9.04,94,,,
154,8,NP,M,104,0.1,0.08,0.04,9.5,9.52,9.54,94,72,82,9.32
155,28,P,NM,161,0.08,0.1,0.1,10.95,10.79,10.8,94,72,125,10.07
156,18,NP,M,162,0.16,0.18,0.18,10.85,11,10.91,94,86,159,10.68
157,22,NP,M,73,0.12,0.08,0.11,8.22,8.24,8.17,76,59,73,8.46
158,23,P,NM,156,0.24,0.22,0.21,10.8,10.78,11.08,94,,,
159,4,NP,M,31,0.02,0.01,0.02,6.54,6.66,6.74,94,,,
160,27,P,NM,153,0.33,0.32,0.33,10.63,10.61,10.65,94,,,
161,13,P,NM,79,0.1,0.12,0.13,8.43,8.67,8.61,94,86,80,8.55
162,6,P,M,50,0.1,0.12,0.11,7.39,7.59,7.45,94,100,49,7.42
163,13,P,NM,144,0.3,0.3,0.31,10.37,10.22,10.39,94,,,
164,19,NP,M,50,0.02,0.03,0.01,7.62,7.52,7.39,94,95,62,7.4
165,11,P,NM,74,0.04,0.03,0.07,8.08,8.01,7.98,94,41,35,6.88
166,10,NP,NM,116,0.11,0.12,0.14,9.87,10,9.94,94,,,
167,30,P,M,104,0.24,0.23,0.23,9.46,9.28,9.38,94,72,112,9.29
168,26,P,M,118,0.13,0.13,0.11,9.85,10.02,9.85,94,102,119,9.88
169,24,P,NM,70,0.25,0.25,0.25,8.1,8.02,8.19,86,48,43,7.1
170,8,NP,NM,101,0.1,0.09,0.06,8.96,8.88,8.94,94,,,
171,16,NP,NM,178,0.11,0.13,0.08,10.77,10.98,10.76,94,,,
172,11,P,M,94,0.22,0.23,0.22,9.22,9.23,8.98,94,100,98,9.56
173,18,P,M,79,0.11,0.09,0.08,8.79,8.71,8.76,94,,,
174,12,P,M,49,0.23,0.22,0.2,7.16,7.13,6.96,94,59,52,6.64
175,10,P,NM,102,0.4,0.43,0.4,10.07,9.86,9.88,94,,,
176,20,NP,NM,252,0.1,0.09,0.09,12.6,12.58,12.42,94,170,279,13.91
177,29,NP,NM,34,0.01,0.01,0.01,6.48,6.33,6.38,94,,,
178,17,NP,NM,24,0.02,0.01,0.01,5.8,5.67,5.68,94,83,82,8.72
179,17,P,M,78,0.13,0.12,0.11,8.27,8.25,8.26,94,102,67,8.36
180,4,P,M,100,0.18,0.15,0.15,9.37,9.57,9.7,94,107,94,9.87
181,9,P,NM,147,0.28,0.28,0.26,10.21,10.4,10.37,94,,,
182,6,NP,M,43,0.1,0.1,0.1,7.03,7.1,7.2,94,107,48,8.03
183,9,NP,M,74,0.04,0.05,0.05,8.24,8.3,8.09,94,59,71,8.22
184,28,NP,NM,28,0.01,0.01,0.01,6.07,6.08,6.1,94,,,
185,9,NP,NM,115,0.25,0.24,0.26,9.28,9.36,9.38,94,,,
186,30,NP,M,66,0.16,0.11,0.18,7.86,7.79,7.76,94,65,36,6.56
187,2,P,NM,84,0.21,0.25,0.22,8.86,8.79,8.89,94,352,221,12.5
188,18,P,M,135,0.32,0.32,0.35,11.11,10.94,11.08,94,86,151,11.19
189,23,NP,M,146,0.19,0.23,0.22,10.21,10.11,10.24,94,102,145,10.04
190,24,P,NM,57,0.25,0.26,0.29,7.22,7.2,7.3,94,,,
191,21,P,NM,119,0.32,0.35,0.39,10.09,10.12,10.08,94,,,
192,3,P,NM,131,0.48,0.47,0.45,10.37,10.47,10.43,94,,,
193,15,P,M,117,0.37,0.39,0.38,9.74,9.84,9.77,94,95,119,9.48
194,25,NP,NM,188,0.16,0.17,0.16,10.67,10.79,10.68,94,128,190,10.94
195,14,NP,M,40,0.06,0.1,0.1,7.58,7.79,7.31,90,86,45,7.62
196,20,NP,M,51,0.2,0.21,0.22,8.08,8.09,8.04,94,67,55,8.13
197,4,NP,M,62,0.17,0.18,0.18,8.13,8.33,8.07,94,72,40,7.15
198,17,NP,M,46,0.11,0.15,0.16,7.4,7.5,7.46,94,65,48,7.03
199,23,P,M,91,0.2,0.21,0.2,8.68,8.72,8.8,94,93,91,8.47
200,16,NP,M,79,0.08,0.05,0.09,8.5,8.5,8.76,94,102,76,8.77
201,4,NP,NM,41,0.08,0.11,0.1,7.3,7.34,7.4,94,,,
202,22,P,NM,181,0.3,0.25,0.29,11.35,11.4,11.41,94,,,
203,9,NP,M,42,0.02,0.07,0.02,7.27,7.11,7.14,94,121,78,8.81
204,4,NP,M,119,0.2,0.18,0.17,10.04,10.27,10.14,94,156,82,8.69
205,22,NP,M,63,0.03,0.04,0.09,8.38,8.37,8.39,94,95,65,8.2
206,2,P,M,115,0.35,0.36,0.35,9.55,9.55,9.5,94,83,111,9.62
207,16,NP,NM,127,0.11,0.09,0.09,10.06,10.08,10.17,94,,,
208,17,NP,NM,103,0.16,0.18,0.17,9.22,9.28,9.14,94,135,119,9.57
209,3,NP,NM,103,0.21,0.22,0.21,9.21,9.51,9.41,94,,,
210,20,P,M,123,0.23,0.24,0.23,10.05,10.02,9.83,94,109,122,10.27
211,18,P,M,51,0.2,0.22,0.21,7.37,7.33,7.34,94,93,53,6.62
212,24,NP,NM,,,,,,,,,277,200,11.83
213,3,NP,M,83,0.23,0.18,0.17,8.15,8.37,8.45,94,144,44,7.39
214,9,P,M,102,0.24,0.23,0.23,9.98,9.87,9.91,83,72,98,9.25
215,8,NP,M,76,0.18,0.18,0.18,8.96,9.13,9.09,94,86,90,9.27
216,29,NP,M,56,0.02,0.02,0.01,7.59,7.57,7.62,94,95,49,9.13
217,14,P,NM,84,0.3,0.3,0.3,9.17,9.27,9.29,94,,,
218,16,P,NM,66,0.23,0.27,0.21,8.27,8.18,8.27,94,,,
219,27,P,NM,120,0.35,0.37,0.36,10.18,10.31,10.34,94,,,
220,24,NP,M,68,0.16,0.13,0.18,8.06,8.04,8.06,94,72,31,6.15
221,23,P,M,143,0.31,0.34,0.35,9.97,10.01,9.91,94,102,153,10.03
222,18,P,M,75,0.18,0.2,0.18,8.57,8.68,8.61,94,83,77,8.47
223,19,NP,M,42,0.14,0.18,0.15,6.77,6.68,6.79,94,44,20,5.55
224,2,NP,NM,123,0.23,0.25,0.23,10.55,10.64,10.66,94,,,
225,22,P,NM,216,0.4,0.43,0.39,11.66,11.64,11.47,94,,,
226,26,P,M,148,0.19,0.2,0.19,10.99,10.9,11.02,94,93,149,10.92
227,16,NP,NM,159,0.21,0.22,0.21,10.87,10.91,10.85,94,,,
228,19,P,M,122,0.29,0.31,0.33,9.97,9.57,9.62,94,102,121,9.8
229,21,NP,M,40,0.09,0.09,0.09,7.33,7.31,7.21,94,80,50,7.4
230,24,NP,NM,49,0.12,0.12,0.15,7.67,7.59,7.68,94,,,
231,22,NP,M,37,0.15,0.15,0.13,6.86,6.88,6.94,94,93,37,7.09
232,29,NP,M,58,0.1,0.15,0.12,7.87,7.9,7.99,94,102,54,7.99
233,12,NP,M,96,0.15,0.16,0.15,8.98,9,8.95,94,109,101,9.54
234,15,NP,M,75,0.19,0.2,0.2,8.12,8.06,8.1,94,44,25,5.99
235,30,P,M,112,0.28,0.3,0.31,9.48,9.43,9.37,94,83,113,9.19
236,9,NP,NM,69,0.13,0.14,0.16,8.29,8.31,8.36,94,165,199,10.95
237,16,P,NM,153,0.34,0.35,0.36,10.23,10.27,10.34,94,200,164,10.52
238,30,NP,M,97,0.12,0.12,0.13,8.85,8.78,8.9,94,102,96,8.87
239,16,NP,M,88,0.18,0.15,0.18,8.58,8.45,8.5,94,44,34,6.44
240,27,NP,M,108,0.14,0.15,0.14,9.04,8.91,8.94,94,67,73,8.02
241,18,NP,NM,147,0.2,0.21,0.2,10.67,10.8,10.7,94,80,130,10.53
242,17,P,M,57,0.17,0.18,0.17,7.78,7.87,7.94,94,107,60,8.1
243,10,P,M,60,0.18,0.13,0.18,8.22,8.18,8.26,94,128,96,9.78
244,5,P,M,115,0.27,0.28,0.25,10.32,10.52,10.6,94,93,123,10.37
245,19,P,NM,122,0.33,0.33,0.32,9.89,9.86,9.78,94,,,
246,28,NP,M,30,0.03,0.05,0.05,6.08,6.27,6.59,83,65,26,6.43
247,16,NP,M,54,0.11,0.11,0.11,7.39,7.37,7.33,88,59,47,7.09
248,18,NP,M,86,0.18,0.19,0.2,9.54,9.57,9.49,94,128,88,9.23
249,25,P,M,66,0.26,0.27,0.25,7.92,7.94,8.02,94,74,67,7.93
250,27,NP,M,192,0.17,0.18,0.17,11.03,11.11,11.14,94,88,178,11.09
251,30,NP,M,164,0.09,0.1,0.11,10.43,10.25,10.37,94,95,168,10.36
252,1,P,M,95,0.14,0.15,0.16,8.37,8.35,8.49,94,100,101,9.27
253,22,P,M,191,0.38,0.4,0.39,11.8,11.85,11.86,94,,,
254,3,P,NM,83,0.26,0.27,0.26,8.43,8.44,8.53,94,,,
255,29,NP,NM,187,0.27,0.25,0.28,11.05,11.01,11,94,121,196,11.32
256,15,P,M,76,0.2,0.2,0.22,8.61,8.61,8.5,94,93,78,8.67
257,1,NP,M,,,,,,,,,72,48,7.42
258,7,NP,M,93,0.13,0.14,0.14,8.69,8.7,8.76,94,80,99,8.9
259,28,P,NM,150,0.38,0.39,0.41,10.15,10.26,10.24,94,,,
260,24,NP,M,25,0.01,0.01,0.01,6.07,5.86,5.96,94,93,27,5.62
261,18,NP,M,61,0.18,0.2,0.22,7.91,8.04,7.89,94,88,59,7.94
262,11,P,M,41,0.18,0.15,0.11,7.86,7.6,7.74,94,,,
263,4,NP,NM,47,0.15,0.19,0.14,7.36,7.38,7.37,94,125,52,7.28
264,19,NP,M,81,0.15,0.15,0.13,8.28,8.29,8.38,94,109,35,6.56
265,6,P,M,109,0.28,0.3,0.26,9.16,9.2,9.27,94,67,93,9.34
266,20,NP,M,52,0.03,0.03,0.03,7.57,7.63,7.54,94,128,81,9.11
267,23,NP,NM,132,0.2,0.22,0.2,9.6,9.6,9.59,94,170,128,10.18
268,4,P,NM,180,0.37,0.39,0.39,11.62,11.64,11.5,94,,,
269,30,NP,M,82,0.07,0.08,0.07,9.22,9.32,9.25,94,93,99,9.13
270,8,NP,NM,236,0.25,0.24,0.21,12.06,12.08,12.12,94,146,350,13.58
271,3,P,NM,70,0.25,0.27,0.26,8.6,8.51,8.5,94,,,
272,9,P,M,76,0.21,0.22,0.19,8.94,8.95,8.97,88,72,69,8.89
273,13,NP,M,58,0.12,0.1,0.13,6.95,6.87,6.78,94,100,26,5.68
274,29,P,NM,86,0.21,0.23,0.22,8.57,8.68,8.63,94,,,
275,10,P,M,155,0.35,0.36,0.4,11.8,11.84,11.62,86,135,83,9.6
276,5,P,M,81,0.28,0.27,0.3,9.19,9.4,9.42,86,,,
277,14,P,M,76,0.15,0.17,0.18,8.71,8.69,8.75,94,93,78,8.69
278,27,NP,M,87,0.14,0.17,0.16,8.66,8.67,8.78,94,100,82,8.67
279,9,NP,NM,153,0.27,0.28,0.27,10.76,10.81,10.63,94,,,
280,25,P,M,111,0.26,0.25,0.26,10.4,10.41,10.43,94,93,118,10.43
281,8,P,M,92,0.24,0.24,0.24,9.22,9.24,9.22,94,59,77,8.45
282,23,P,M,195,0.29,0.28,0.3,11.24,11.18,11.27,94,88,187,11.34
283,26,NP,M,61,0.16,0.16,0.16,8.71,8.7,8.84,94,59,69,8.34
284,28,P,M,83,0.24,0.24,0.24,10.04,9.98,9.98,94,80,99,9.75
285,15,P,M,195,0.24,0.25,0.26,12.22,12.17,12.14,94,65,200,12.25
286,20,NP,M,49,0.07,0.11,0.08,7.88,7.87,7.79,94,83,56,7.96
287,22,NP,NM,111,0.18,0.17,0.16,9.34,9.44,9.44,94,,,
288,1,P,NM,43,0.21,0.21,0.22,6.66,6.56,6.55,94,,,
289,14,NP,NM,146,0.19,0.18,0.16,10.82,10.86,10.89,94,,,
290,24,P,M,44,0.15,0.2,0.15,6.91,6.89,6.97,94,,,
291,29,NP,NM,36,0.14,0.14,0.1,6.59,6.66,6.64,94,,,
292,3,NP,NM,69,0.2,0.2,0.21,8.42,8.45,8.55,94,,,
293,6,NP,M,70,0.09,0.08,0.1,8.63,8.78,8.76,94,109,74,
294,30,NP,NM,139,0.16,0.17,0.17,10.12,10.14,10.12,94,,,
295,11,NP,M,57,0.12,0.13,0.14,8.21,8.17,8.19,94,100,51,8.37
296,30,P,NM,142,0.26,0.27,0.28,9.65,9.72,9.84,94,146,212,11.09
297,26,NP,M,95,0.13,0.13,0.09,9.36,9.29,9.3,94,74,99,9.24
298,28,P,M,93,0.227,0.23,0.23,9.55,9.7,9.8,94,74,122,9.9
299,16,NP,M,51,0.08,0.1,0.11,7.4,7.59,7.35,94,135,38,7.49
300,2,NP,NM,165,0.16,0.17,0.16,11.18,11.26,11.19,94,137,192,12
301,13,P,NM,92,0.25,0.23,0.23,8.62,8.61,8.52,94,,,
302,1,P,M,82,0.2,0.21,0.21,8.02,8.02,8.08,94,59,51,7.36
303,4,P,NM,65,0.27,0.28,0.28,8.39,8.35,8.4,94,,,
304,26,NP,M,70,0.03,0.05,0.03,8.69,8.73,8.69,94,107,101,9.61
305,7,NP,NM,125,0.09,0.08,0.1,9.47,9.55,9.79,94,144,260,11.74
306,30,NP,NM,125,0.18,0.19,0.2,10.12,10.16,10.1,94,,,
307,21,NP,M,36,0.2,0.2,0.15,6.55,6.55,6.56,86,93,37,6.38
308,22,NP,M,125,0.1,0.11,0.1,9.46,9.52,9.38,94,59,86,8.37
309,16,P,M,72,0.21,0.23,0.23,8.03,8.06,7.98,94,95,76,8.01
310,26,P,NM,85,0.35,0.35,0.36,9.36,9.46,9.39,94,,,
311,11,P,NM,91,0.3,0.3,0.3,8.93,8.95,9.03,94,59,54,7.77
312,22,NP,M,96,0.1,0.12,0.12,9.07,9.12,9.17,94,149,69,7.97
313,22,P,M,83,0.18,0.18,0.18,8.83,8.74,8.86,94,80,93,9.17
314,18,P,M,85,0.14,0.14,0.16,9.54,9.54,9.61,94,,,
315,21,P,NM,82,0.33,0.32,0.33,8.96,9.04,9.06,94,,,
316,9,P,M,111,0.21,0.23,0.21,9.54,9.51,9.54,94,93,119,9.45
317,5,P,NM,154,0.2,0.2,0.2,10.98,10.95,10.96,94,,,
318,14,NP,NM,45,0.05,0.05,0.05,7.71,7.67,7.53,94,,,
319,12,P,NM,22,0.12,0.13,0.13,5.84,5.76,5.74,94,,,
320,13,NP,M,95,0.15,0.14,0.14,8.96,8.87,8.91,94,102,94,8.86
321,27,P,M,35,0.2,0.18,0.18,6.72,6.5,6.32,80,37,26,6.45
322,22,P,M,,,,,,,,,59,36,6.67
323,17,NP,NM,150,0.25,0.25,0.27,10.06,10.08,10.14,95,,,
324,21,P,M,71,0.25,0.27,0.25,8.37,8.27,8.28,95,86,69,8.44
325,30,P,NM,177,0.4,0.4,0.4,10.85,10.9,11.02,95,,,
326,27,P,M,117,0.32,0.3,0.33,10.37,10.37,10.29,95,,,
