BOX,FAMILY,PREDATOR,MATE,MASS,ST1,ST2,ST3,SL1,SL2,SL3,Age_Morph,AFR,SFR_Mass,SFR_SL
650,12,NP,M,12,0.01,0.01,0.01,4.32,4.3,4.4,96,158,56,7.96
651,7,NP,M,163,0.26,0.27,0.26,10.73,10.7,10.72,96,93,173,11.02
652,29,P,NM,119,0.32,0.32,0.32,9.97,10.01,9.99,96,53,52,8.01
653,23,P,M,221,0.33,0.35,0.37,12.35,12.23,12.27,96,107,223,12.38
654,11,NP,M,,,,,,,,,59,25,6.32
655,12,P,NM,57,0.26,0.26,0.3,7.62,7.63,7.67,96,104,75,8.46
656,5,NP,M,44,0.09,0.09,0.09,6.66,6.69,6.72,96,86,46,6.62
657,7,NP,NM,102,0.16,0.16,0.16,9.52,9.55,9.53,96,,,
658,28,P,NM,192,0.41,0.42,0.41,11.2,11.28,11.3,96,20,71,8.39
659,12,NP,NM,40,0.18,0.18,0.18,6.82,6.8,6.79,96,,,
660,4,P,NM,187,0.08,0.09,0.1,12.17,12.26,12.28,96,,,
661,19,P,NM,170,0.27,0.28,0.28,10.95,11.05,11.04,96,219,218,11.42
662,2,P,M,82,0.22,0.21,0.2,8.62,8.78,8.79,96,107,87,9.41
663,22,P,NM,153,0.29,0.29,0.29,10.63,10.64,10.57,96,48,95,9.7
664,6,NP,M,61,0.17,0.18,0.19,8.28,8.25,8.38,96,100,63,8.51
665,10,NP,NM,177,0.17,0.19,0.19,11.71,11.7,11.81,96,,,
666,14,P,NM,137,0.3,0.3,0.32,10.96,10.96,10.97,96,,,
667,15,P,M,114,0.31,0.33,0.32,9.93,9.95,9.96,96,83,119,10
668,12,P,M,86,0.42,0.42,0.42,9.06,9.08,9.05,96,102,83,9.57
669,1,NP,M,40,0.14,0.14,0.13,7.21,7.2,7.3,96,114,49,7.49
670,10,NP,M,59,0.09,0.09,0.09,7.95,8.03,8.04,96,149,54,8.08
671,8,P,NM,185,0.37,0.34,0.34,11.04,11.12,11.15,96,48,72,8.17
672,20,NP,NM,94,0.16,0.16,0.16,9.67,9.67,9.79,96,149,166,11.35
673,29,NP,NM,153,0.2,0.2,0.19,10.45,10.53,10.47,96,286,272,11.64
674,10,NP,NM,166,0.15,0.17,0.17,11.02,11.08,10.86,96,221,211,12.12
675,5,NP,M,94,0.18,0.17,0.21,9.43,9.37,9.28,96,93,106,9.27
676,24,NP,NM,92,0.17,0.14,0.17,9.19,9.19,9.27,96,205,214,12.09
677,13,NP,NM,114,0.22,0.21,0.24,9.85,9.81,9.84,96,,,
678,29,NP,M,132,0.15,0.13,0.11,10.06,10.13,10.01,96,65,116,9.92
679,2,P,NM,111,0.35,0.3,0.31,10.18,10.15,10.16,96,177,106,10.57
680,23,NP,NM,283,0.2,0.19,0.19,12.87,12.78,12.86,96,,,
681,5,NP,NM,112,0.22,0.18,0.19,9.87,9.9,9.89,96,198,168,11.38
682,9,P,M,163,0.37,0.38,0.39,11.21,11.17,11.1,96,100,158,10.88
683,3,NP,M,14,0.03,0.02,0.02,5.27,5.13,5.15,96,121,26,6.13
684,6,P,NM,231,0.44,0.44,0.46,12.62,12.52,12.53,97,,,
685,17,P,M,122,0.23,0.22,0.25,9.77,9.78,9.86,97,107,113,9.95
686,5,NP,M,108,0.14,0.13,0.12,9.03,9.17,9.11,97,32,11,4.77
687,11,NP,NM,84,0.15,0.18,0.11,9.2,9.41,9.24,97,59,48,7.5
688,19,NP,M,104,0.12,0.11,0.12,9.13,9.02,9.11,97,88,96,9.21
689,3,NP,M,49,0.1,0.11,0.8,7.54,7.54,7.65,97,95,55,7.39
690,28,P,M,138,0.34,0.34,0.32,10.13,10.11,10.08,97,100,124,10.02
691,3,P,NM,47,0.15,0.17,0.15,7.29,7.14,7.17,97,37,29,6.45
692,1,NP,M,42,0.1,0.12,0.12,6.81,6.86,6.76,97,88,48,7.04
693,1,NP,M,68,0.08,0.07,0.07,8.34,8.44,8.28,97,88,63,7.78
694,11,P,M,73,0.21,0.24,0.23,8.84,8.39,8.88,86,80,70,8.4
695,6,NP,M,19,0.01,0.01,0.01,5.45,5.5,5.6,97,53,11,4.98
696,10,NP,NM,134,0.08,0.08,0.12,10.96,10.88,10.98,97,,,
697,16,NP,M,111,0.2,0.2,0.2,9.73,9.8,9.79,97,53,97,9.22
698,27,NP,NM,151,0.16,0.17,0.16,10.7,10.74,10.73,97,72,109,9.67
699,6,NP,NM,65,0.13,0.11,0.13,8.2,8.27,8.2,97,,,
700,1,P,NM,92,0.01,0.01,0.01,9.09,9.13,9.07,97,177,196,11.5
701,26,P,M,33,0.15,0.14,0.17,7.81,7.83,7.91,97,80,45,7.1
702,14,P,NM,144,0.38,0.31,0.31,11.27,11.19,11.28,97,,,
703,4,P,NM,85,0.2,0.22,0.2,9.5,9.57,9.62,97,,,
704,30,NP,NM,97,0.13,0.13,0.12,8.86,8.82,8.88,97,,,
705,4,P,M,23,0.1,0.1,0.1,5.87,5.89,5.79,97,,,
706,28,NP,NM,20,0.15,0.16,0.11,5.6,5.64,5.63,97,135,41,6.9
707,14,NP,M,68,0.05,0.07,0.05,8.02,7.98,8.08,97,95,77,7.86
708,15,NP,M,48,0.18,0.17,0.11,7.18,7.15,7.15,97,116,42,7.84
709,16,P,M,74,0.3,0.27,0.28,8.45,8.54,8.59,97,65,80,8.58
710,22,NP,M,52,0.09,0.05,0.06,7.51,7.48,7.48,97,72,19,5.9
711,13,P,M,54,0.15,0.11,0.18,7.8,7.01,7.57,86,67,55,7.42
712,29,NP,M,62,0.07,0.08,0.04,7.81,7.91,7.91,97,95,63,8
713,9,NP,M,115,0.11,0.13,0.11,9.88,9.91,9.99,97,83,118,9.99
714,15,P,NM,83,0.33,0.33,0.31,8.62,8.71,8.58,97,198,92,8.99
715,11,NP,NM,212,0.16,0.17,0.17,12.33,12.24,12.26,97,135,129,10.86
716,28,NP,M,96,0.16,0.19,0.19,8.86,9.03,9.06,97,109,99,9.11
717,8,NP,NM,15,0.15,0.12,0.15,4.95,4.89,5.01,97,,,
718,3,NP,NM,99,0.15,0.16,0.18,9.57,9.58,9.62,97,,,
719,24,NP,NM,8,0.01,0.02,0.01,4.3,4.31,4.27,97,230,162,10.76
720,21,NP,NM,85,0.2,0.18,0.18,8.94,9.04,8.91,97,128,159,10.83
