code	sex	shell.h	shell.w	aperture.h	aperture.w	whorl.w	rib.n	band.u	band.m	band.l	band.u.l	band.m.l	band.l.l	locality	image	country	canton	locality	altitude	coordinates.DD	depository	date of collecting	collector
002m13 	male	7169	3980	2828	2434	3161	30	1	1	1	1	1	2	2	m055	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002m14	male	6956	3777	2615	2495	3050	29	1	1	1	1	1	2	2	m056	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002m15 	male	6549	3749	2471	2425	2994	25	1	1	2	1	1	2	2	m057	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002m16	male	6831	3763	2536	2407	3036	30	1	1	1	1	1	2	2	m058	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002m17 	male	7053	3985	2805	2573	3184	32	1	1	1	1	1	2	2	m059	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002m18	male	6919	3837	2481	2448	3152	32	1	1	1	1	1	2	2	m060	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002m19 	male	6808	3911	2666	2499	3101	33	1	1	2	1	1	2	2	m061	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002m20	male	7137	3573	2471	2522	3050	27	1	1	1	0	1	2	2	m062	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
002m21 	male	6928	3851	2587	2495	3166	28	1	1	2	1	1	2	2	m063	Switzerland	Bern	"Chasseral, at the crossroads Diesse / Nods Chasseral"	620	47.06996106N 7.09448308E 	NMBE 30980	05/04/2011	Fabian Reichenbach
003f01	female	7294	3679	2458	2356	3101	33	1	1	1	1	1	1	3	f106	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003f02 	female	7576	3786	2721	2777	3143	31	1	1	1	1	1	1	3	f107	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003f03	female	7840	3892	2712	2471	3082	32	1	1	1	1	1	2	3	f108	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003f04	female	7586	3860	2573	2647	3207	31	1	1	1	1	1	2	3	f109	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003f05	female	7715	3860	2536	2546	3184	33	1	1	2	1	1	2	3	f110	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003f06	female	7715	4017	2777	2638	3305	35	1	1	0	1	1	2	3	f111	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003f07	female	7456	3929	2629	2680	3203	32	1	1	2	1	1	1	3	f112	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003f08	female	7526	3878	2583	2606	3291	35	1	1	1	1	1	1	3	f113	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003f09	female	7526	3772	2606	2564	3152	33	1	1	1	1	1	1	3	f114	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003f10	female	7780	3772	2735	2629	3217	31	1	1	1	1	1	2	3	f115	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003f11	female	7077	3703	2305	2337	3092	34	1	1	1	1	1	2	3	f116	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003f12	female	7336	3781	2555	2439	3143	36	1	1	0	1	1	1	3	f117	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003f13	female	7544	3855	2583	2638	3119	36	1	1	1	1	1	2	3	f118	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003m01 	male	7086	4077	2772	2629	3143	31	1	2	2	1	1	2	3	m084	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003m02	male	6716	3846	2694	2689	3069	29	1	2	2	1	1	2	3	m085	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003m03 	male	7276	3929	2587	2481	3170	32	1	1	2	1	1	1	3	m086	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003m04	male	6928	3860	2712	2564	3082	34	1	1	2	1	1	2	3	m087	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003m05 	male	6716	3818	2689	2439	3082	34	1	1	1	1	1	2	3	m088	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003m06	male	6915	3869	2721	2388	3069	35	1	1	2	1	1	2	3	m089	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003m07 	male	7095	3929	2712	2490	3110	32	1	1	2	1	1	1	3	m090	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003m08	male	6928	3952	2754	2638	3092	30	1	1	2	1	1	1	3	m091	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003m09 	male	7387	3804	2592	2564	3110	31	1	1	2	1	1	2	3	m092	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003m10	male	7095	3869	2615	2541	3272	33	1	1	2	1	1	2	3	m093	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003m11 	male	7095	3846	2638	2587	3119	28	1	1	2	1	1	2	3	m094	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003m12	male	6938	3846	2638	2638	3069	32	1	1	2	1	1	2	3	m095	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003m13 	male	7169	3721	2745	2629	3092	29	1	1	2	1	1	2	3	m096	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003m14	male	7035	3689	2513	2397	3018	29	1	1	2	1	1	2	3	m097	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003m15 	male	7086	3786	2596	2356	3101	31	1	1	2	1	1	2	3	m098	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003m16	male	7123	4059	2731	2819	3217	34	1	1	2	1	1	1	3	m099	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003m17 	male	7137	3878	2684	2546	3133	35	1	1	2	1	1	1	3	m100	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003m18	male	6956	3619	2407	2296	3082	31	1	1	2	1	1	1	3	m101	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003m19 	male	7123	3929	2550	2541	3124	34	1	1	2	1	1	1	3	m102	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003m20	male	7220	3869	2657	2448	3207	33	1	1	1	1	1	2	3	m103	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
003m21 	male	7493	3971	2680	2638	3235	30	1	1	2	1	1	1	3	m104	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
