family,binomial,adultbodymass,gestationlen,homerange,maxlongevity,socialgrpsize
Galagonidae,Galago gallarum,250,,,,
Galagonidae,Galago matschiei,214,,,,1
Galagonidae,Galago moholi,194,122.33,0.05,198,1
Galagonidae,Galago senegalensis,216,127.15,0.08,204,3.5
Galagonidae,Galagoides demidoff,67.1,110.99,0.01,168,1
Galagonidae,Galagoides zanzibaricus,148,120,0.01,,1
Galagonidae,Otolemur crassicaudatus,1250,131.04,0.06,225.6,3.5
Galagonidae,Otolemur garnettii,814,132.24,0.12,204,1
Hominidae,Gorilla gorilla,114000,256.99,4.11,648,6
Hominidae,Homo sapiens,58700,274.78,,1470,
Hominidae,Pan paniscus,35200,235.24,28.5,576,85
Hominidae,Pan troglodytes,45100,231.49,11,720,50
Hominidae,Pongo pygmaeus,52100,260.08,3.92,720,1
Hylobatidae,Hylobates agilis,5860,,0.19,528,4.2
Hylobatidae,Hylobates concolor,6430,205.87,1.07,529.2,4
Hylobatidae,Hylobates gabriellae,,,,,1
Hylobatidae,Hylobates hoolock,6700,232.49,0.16,,3.2
Hylobatidae,Hylobates klossii,5850,207.73,0.15,,3
Hylobatidae,Hylobates lar,5630,212.91,0.33,480,3.2
Hylobatidae,Hylobates leucogenys,7320,,,,1
Hylobatidae,Hylobates moloch,5870,241.36,0.12,,2.15
Hylobatidae,Hylobates muelleri,5930,206.77,0.27,348,3.2
Hylobatidae,Hylobates pileatus,5600,200.23,0.23,432,3.25
Hylobatidae,Hylobates syndactylus,10900,230.74,0.22,456,3.8
Indridae,Avahi laniger,1020,136.19,0.01,,2.25
Indridae,Indri indri,8650,136.5,0.12,,3.1
Indridae,Propithecus diadema,6600,152.08,0.21,,4.95
Indridae,Propithecus tattersalli,3540,,0.07,,4.1
Indridae,Propithecus verreauxi,3650,147.49,0.03,247.2,6.15
Lemuridae,Eulemur coronatus,1700,125,0.05,,6.95
Lemuridae,Eulemur fulvus,2390,120.83,0.05,444,9.2
Lemuridae,Eulemur macaco,2480,127.49,0.03,360,9.2
Lemuridae,Eulemur mongoz,1770,128.99,0.05,360,2.7
Lemuridae,Eulemur rubriventer,2040,126.99,0.13,,3.3
Lemuridae,Hapalemur aureus,1570,142.5,0.22,,3
Lemuridae,Hapalemur griseus,956,141.24,0.01,205.2,3.1
Lemuridae,Hapalemur simus,2040,139.99,0.63,144,7.5
Lemuridae,Lemur catta,2640,134.17,0.05,360,16.45
Lemuridae,Varecia variegata,3870,102.5,1.4,384,2.8
Loridae,Arctocebus aureus,235,,,,
Loridae,Arctocebus calabarensis,258,133.74,,156,1
Loridae,Loris tardigradus,249,166,7.13E-03,196.8,1
Loridae,Nycticebus coucang,971,191.15,,318,1
Loridae,Nycticebus pygmaeus,344,185.48,,,1
Loridae,Perodicticus potto,1080,192.99,0.11,312,1
Megaladapidae,Lepilemur dorsalis,509,,,,1
Megaladapidae,Lepilemur edwardsi,822,,8.37E-03,,1
Megaladapidae,Lepilemur leucopus,600,136.01,2.01E-03,103,1
Megaladapidae,Lepilemur microdon,957,,,,1
Megaladapidae,Lepilemur mustelinus,671,133.54,2.76E-03,144,1
Megaladapidae,Lepilemur ruficaudatus,763,136.01,,,1
Megaladapidae,Lepilemur septentrionalis,764,135,7.13E-03,,1
Tarsiidae,Tarsius bancanus,114,125.88,0.01,144,1
Tarsiidae,Tarsius dianae,111,,3.91E-03,,1
Tarsiidae,Tarsius pumilus,,,,,1
Tarsiidae,Tarsius spectrum,166,181.76,0.02,144,3.25
Tarsiidae,Tarsius syrichta,116,178.05,7.20E-03,180,1
